firm,man,mh,mms,q,firm.q
nissan,nissan international sa,unknown,nissan (j),146,3447455
nissan,aa-iva,aa-iva,nissan (ch),271,3447455
nissan,aa-iva,aa-iva,nissan(usa),1,3447455
nissan,aa-iva,duplicate,nissan (ch),1,3447455
nissan,nissan international sa,duplicate,nissan (ch),64,3447455
nissan,nissan international sa,unknown,nissan (ch),164,3447455
nissan,nissan international sa,unknown,nissan (gb),3,3447455
nissan,aa-iva,aa-iva,nissan motor co.,1,3447455
nissan,aa-iva,aa-iva,nissan europe (f),14,3447455
nissan,nissan international sa,unknown,nissan europe (f),7,3447455
nissan,nissan international sa,unknown,nissan europe (nl),14,3447455
nissan,aa-nss,aa-nss,nissan international,159,3447455
nissan,nissan international sa,duplicate,nissan international,26,3447455
nissan,aa-iva,aa-iva,nissan international sa,6,3447455
nissan,duplicate,duplicate,nissan international sa,3,3447455
nissan,nissan international sa,duplicate,nissan internacional s.a.,4,3447455
nissan,nissan international sa,duplicate,nissan international s.a.,2,3447455
nissan,nissan international sa,duplicate,nissan international sa,1593,3447455
nissan,nissan international sa,duplicate,"nissan international sa, zone d'activites la piece 12, 1180 rolle, svicarska",1,3447455
nissan,nissan international sa,duplicate,nissan international sa.,1,3447455
nissan,nissan international sa,duplicate,"nissan international, s.a.",4,3447455
nissan,aa-iva,aa-iva,nissan international sa.,11,3447455
nissan,aa-iva,aa-iva,nissan international s.a.,4,3447455
nissan,aa-nss,aa-nss,"nissan international, s.a.",1,3447455
nissan,duplicate,duplicate,"nissan international sa,rolle,",2,3447455
skoda,aa-iva,aa-iva,skoda,118,4051634
skoda,aa-iva,skoda,skoda auto as,1,4051634
skoda,aa_iva,skoda,aa_iva,1,4051634
skoda,skoda,skoda,,18191,4051634
skoda,skoda auto as,duplicate,skoda,108,4051634
skoda,skoda auto as,skoda,,321727,4051634
skoda,skoda auto as,skoda,å¡koda auto a.s.,37188,4051634
skoda,skoda auto as,skoda,å¡koda auto a.s. tr. vaclava klementa 869 293 60 mlada boleslav  cz,525,4051634
skoda,skoda auto as,skoda,äºâ koda,3,4051634
skoda,skoda auto as,skoda,äºâ koda auto a .s. täºâ„¢. väƒë‡clava klementa 869 mladäƒë‡ boleslav ii 293 01 mladäƒë‡ boleslav  cz,516,4051634
skoda,skoda auto as,skoda,äºâ koda auto a.s.,31802,4051634
skoda,skoda auto as,skoda,äºâ koda auto a.s. tr. vaclava klementa 869 293 60 mlada boleslav  cz,1833,4051634
skoda,skoda auto as,skoda,äºâ koda auto a.s. tr. vaclava klementa 869 mlada boleslav ii 293 01 mlada boleslav  cz,872,4051634
skoda,skoda auto as,skoda,"äºâ koda auto a.s., tr, tr. vaclava klementa 869, cz-29360 mlada boleslav, republika ã¤å›eäºâ ka",17,4051634
skoda,skoda auto as,skoda,"äºâ koda auto a.s., tr. vaclava klementa 869, cz-29360 mlada boleslav, republika ã¤å›eäºâ ka",3094,4051634
skoda,skoda auto as,skoda,äºâ koda auto as,19015,4051634
skoda,skoda auto as,skoda,automobile dacia sa,1,4051634
skoda,skoda auto as,skoda,n/a,28028,4051634
skoda,skoda auto as,skoda,skoda,939525,4051634
skoda,skoda auto as,skoda,skoda  auto a.s.,2660,4051634
skoda,skoda auto as,skoda,skoda (cz),1236726,4051634
skoda,skoda auto as,skoda,skoda 1u abcf1 aeefm5dgl                st,1,4051634
skoda,skoda auto as,skoda,skoda 1z aacaycx01 nfm5fm5a4051,1,4051634
skoda,skoda auto as,skoda,skoda 1z acbkcx01 fm5fm5a4009n,1,4051634
skoda,skoda auto as,skoda,skoda 3t aacbbbx01 nfd6fd62e018w,1,4051634
skoda,skoda auto as,skoda,skoda 3t aacbbbx01 nfm6fm62q017,1,4051634
skoda,skoda auto as,skoda,skoda 3t aacdvax11 nqd6ad62e079,1,4051634
skoda,skoda auto as,skoda,skoda 3t accbbbx01 nfd6fd62e018w,2,4051634
skoda,skoda auto as,skoda,skoda 3t accbbbx01 nfm6fm62q017w,1,4051634
skoda,skoda auto as,skoda,skoda 5j abcbzax01 nfm5fm52t10614n,1,4051634
skoda,skoda auto as,skoda,skoda 5j accgpax01 nfm5fm52t11114n,2,4051634
skoda,skoda auto as,skoda,skoda 5j acchfax01 nfm5fm52t11114n,2,4051634
skoda,skoda auto as,skoda,skoda 5l accfhax0 nfm5fm5a4047,1,4051634
skoda,skoda auto as,skoda,skoda 791 abg11 addm5bck  felicia       st,1,4051634
skoda,skoda auto as,skoda,skoda 791 scj11 accm5bbk felicia        st,2,4051634
skoda,skoda auto as,skoda,skoda auto,11628,4051634
skoda,skoda auto as,skoda,skoda auto a .s. tå™. vã¡clava klementa 869 mladã¡ boleslav ii 293 01 mladã¡ boleslav  cz,192,4051634
skoda,skoda auto as,skoda,skoda auto a.s,2766,4051634
skoda,skoda auto as,skoda,skoda auto a.s.,649262,4051634
skoda,skoda auto as,skoda,skoda auto a.s. tr.,71218,4051634
skoda,skoda auto as,skoda,skoda auto a.s. tr. vaclava klementa 869,21013,4051634
skoda,skoda auto as,skoda,skoda auto a.s. tr. vaclava klementa 869 293 60 mlada boleslav  cz,6431,4051634
skoda,skoda auto as,skoda,skoda auto a.s. tr. vaclava klementa 869 mlada boleslav ii 293 01 mlada boleslav  cz,6353,4051634
skoda,skoda auto as,skoda,"skoda auto a.s., mlada bolesla",80882,4051634
skoda,skoda auto as,skoda,"skoda auto a.s., mlada boleslav, cr",73750,4051634
skoda,skoda auto as,skoda,"skoda auto a.s., tr. vaclava klementa 869, mlada boleslav ii, 293 01 mlada boleslav, cz.",2,4051634
skoda,skoda auto as,skoda,skoda auto as,482948,4051634
skoda,skoda auto as,skoda,skoda auto polska s.a.,2,4051634
skoda,skoda auto as,skoda,"skoda auto, ceska republika",13,4051634
skoda,skoda auto as,skoda,skoda/focaccia group,1,4051634
skoda,skoda auto as,skoda,steel,1,4051634
skoda,skoda auto as,skoda,volkswagen-vw,1,4051634
skoda,skoda auto as,skoda,volkswagen ag,2,4051634
skoda,skoda auto as,skoda,volkswagen group polska,5,4051634
skoda,skoda auto as,skoda,vw group pc,230,4051634
skoda,aa-iva,aa-iva,skoda(cz),1,4051634
skoda,aa-iva,aa-iva,skoda (cz),215,4051634
skoda,aa-iva,duplicate,skoda (cz),4,4051634
skoda,skoda auto as,duplicate,skoda (cz),1057,4051634
skoda,skoda auto as,unknown,skoda (cz),465,4051634
skoda,aa-iva,aa-iva,skoda auto as,1,4051634
skoda,skoda auto as,duplicate,å¡koda auto a.s.,56,4051634
skoda,skoda auto as,duplicate,skoda auto a.s.,25,4051634
skoda,skoda auto as,duplicate,skoda auto a.s. tr.,49,4051634
skoda,skoda auto as,duplicate,skoda auto a.s. tr. vaclava klementa 869 mlada boleslav ii 293 01 mlada boleslav  cz,15,4051634
skoda,skoda auto as,duplicate,skoda auto as,980,4051634
skoda,skoda auto as,unknown,aznp-skoda (cs),2,4051634
skoda,aa-iva,aa-iva,aznp-skoda(cs),2,4051634
skoda,aa-iva,aa-iva,aznp-skoda (cs),3,4051634
skoda,aa-iva,aa-iva,skoda auto a.s.,64,4051634
skoda,aa-nss,aa-nss,skoda auto a.s.,12,4051634
skoda,aa-iva,aa-iva,skoda auto a.s. tr.,8,4051634
skoda,aa-iva,aa-iva,skoda auto a.s. tr. vaclava klementa 869,6,4051634
toyota,aa-iva,aa-iva,toyota,66,4199405
toyota,aa-nss,aa-nss,toyota,77,4199405
toyota,toyota,toyota,,7876,4199405
toyota,toyota moor europe nv sa,toyota,toyota,1,4199405
toyota,toyota motor europe,toyota,,2677,4199405
toyota,toyota motor europe,toyota,toyota europe (b),83796,4199405
toyota,toyota motor europe  nv sa,toyota,,34005,4199405
toyota,toyota motor europe  nv sa,toyota,aston martin lagonda,20,4199405
toyota,toyota motor europe  nv sa,toyota,lexus hf4 uvf45e uvf45l aexghw 1c ls600h,1,4199405
toyota,toyota motor europe  nv sa,toyota,lexus xe1 gxe10w gxe10l awfvkw 1e is200,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota,7615,4199405
toyota,toyota motor europe  nv sa,toyota,toyota  lj70 lv mnxw p lx,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota ab1 kgb10h kgb10l ahmgkw 1d,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota ab1 kgb10h kgb10l ahmrkw 1c,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota ab1 kgb10h kgb10l ahmrkw 1e,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota aj1 kgj10g kgj10l bgxngw 2a,2,4199405
toyota,toyota motor europe  nv sa,toyota,toyota ar2 aur20wc aur20l gwfeyw 2b,2,4199405
toyota,toyota motor europe  nv sa,toyota,toyota ar2 aur20wf aur20l gwfeyw 6b,2,4199405
toyota,toyota motor europe  nv sa,toyota,toyota e12j zze121h zze121l ahmdkw 1b,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota e15ut nre150h nre150l dhfdkw 3j,6,4199405
toyota,toyota motor europe  nv sa,toyota,toyota e15ut nre150h nre150l dhfnkw 3j,27,4199405
toyota,toyota motor europe  nv sa,toyota,toyota e15ut zre151h zre151l dhfnpw 1j,5,4199405
toyota,toyota motor europe  nv sa,toyota,toyota j12 kdj120k kdj120l gkmeyw 1a,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota ln 130 4 runner t d     cat m1,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota motor corporation,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota motor europe,73253,4199405
toyota,toyota motor europe  nv sa,toyota,toyota motor europe  nv sa,1797,4199405
toyota,toyota motor europe  nv sa,toyota,toyota motor europe nv/sa,55243,4199405
toyota,toyota motor europe  nv sa,toyota,toyota p1 ncp13g ncp13l agmvkw 2g,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota p1 scp10 g scp10l agmgkw 1f yaris,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota p1f nlp10g nlp10l cgmgxw 1g,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota t27 adt270e adt270l aefeyw 6b,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota t27 adt271ea adt271l aetgxw 1c,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota t27 adt271et adt271l aefeyw 1c,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota t27 adt271wt adt271l awfgyw 1b,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xa3 ala30wd ala30l bwfgrw 2g rav4,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xa3 ala30wh ala30l awfgxw 1c rav4,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xa3 ala30wt ala30l awfgyw 1b rav4,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xp9 ksp90h ksp90l ahmgkw 1a yaris,2,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xp9 zsp90g zsp90l agmvkw 1c yaris,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xp9f ksp90h ksp90l chmgkw 1a yaris,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xp9f nlp90h nlp90l chggxw 1a yaris,3,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xp9f nlp90h nlp90l chmgxw 1a yaris,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xp9f scp90h scp90l chggkw 1a yaris,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xp9f scp90h scp90l chggkw 1c yaris,1,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xw3 zvw30h zvw30l ahxebw 1a,25,4199405
toyota,toyota motor europe  nv sa,toyota,toyota xw3 zvw30h zvw30l ahxebw 2a,2,4199405
toyota,toyota motor europe  nv sa                                                  0,toyota,,7,4199405
toyota,toyota motor europe nv sa,duplicate,toyota,45,4199405
toyota,toyota motor europe nv sa,toyota,,255164,4199405
toyota,toyota motor europe nv sa,toyota,aston martin lagonda,11,4199405
toyota,toyota motor europe nv sa,toyota,automobiles dangel,1,4199405
toyota,toyota motor europe nv sa,toyota,daihatsu motor co ltd,6,4199405
toyota,toyota motor europe nv sa,toyota,lexus,93221,4199405
toyota,toyota motor europe nv sa,toyota,"mostva sp. z o.o. ul. krakowska 10, ciemno gnojna 96-320 mszczonã³w poland",54,4199405
toyota,toyota motor europe nv sa,toyota,n.v. toyota motor europe,4338,4199405
toyota,toyota motor europe nv sa,toyota,n.v.toyota motor europe,399,4199405
toyota,toyota motor europe nv sa,toyota,n.v.toyota motor europe s.a.,209,4199405
toyota,toyota motor europe nv sa,toyota,n/a,45203,4199405
toyota,toyota motor europe nv sa,toyota,nv toyota motor europe,50,4199405
toyota,toyota motor europe nv sa,toyota,steel,120,4199405
toyota,toyota motor europe nv sa,toyota,toyota,1001882,4199405
toyota,toyota motor europe nv sa,toyota,toyota (j),1228,4199405
toyota,toyota motor europe nv sa,toyota,toyota bretlandi,395,4199405
toyota,toyota motor europe nv sa,toyota,"toyota caetano portugal, s.a.",1,4199405
toyota,toyota motor europe nv sa,toyota,"toyota espana, s.l.u.",33,4199405
toyota,toyota motor europe nv sa,toyota,toyota europe (b),459781,4199405
toyota,toyota motor europe nv sa,toyota,toyota frakklandi,783,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor,7,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor corporation,811,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor eng. & man. europe sa/nv,2,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor europe,542386,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor europe-toyota motorsport,1524,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor europe  nv sa,10689,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor europe n.v. / s.a.,285757,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor europe nv sa,141874,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor europe nv/sa,1059170,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor europe nv/sa-focaccia group,3,4199405
toyota,toyota motor europe nv sa,toyota,"toyota motor europe nv/sa 60, avenue du bourget, b-1140, bruxelles, belgija",265,4199405
toyota,toyota motor europe nv sa,toyota,"toyota motor europe s.a.  60, avenue du bourget, b-1140, bruxelles, belgija",6779,4199405
toyota,toyota motor europe nv sa,toyota,"toyota motor europe s.a. 60, avenue du bourget, b-1140, bruxelles, belgija",1363,4199405
toyota,toyota motor europe nv sa,toyota,"toyota motor europe s.a., 60, avenue du bourget, b-1140, bruxelles, belgija",4,4199405
toyota,toyota motor europe nv sa,toyota,toyota motor poland co. ltd. sp. z o.o.,5,4199405
toyota,toyota motor europe nv sa,toyota,toyota motorsport,1,4199405
toyota,toyota motor europe nv sa,toyota,toyota motorsport gmbh,12794,4199405
toyota,toyota motor europe nv sa,toyota,ttoyota motor europe nv sa,4367,4199405
toyota,toyota motor europe nv sa,toyota,tyrkland,35,4199405
toyota,toyota motor europe nv sa,unknown,toyota,1,4199405
toyota,aa-iva,aa-iva,toyota(j),100,4199405
toyota,aa-iva,aa-iva,toyota (j),64,4199405
toyota,toyota motor europe  nv sa,unknown,toyota (j),77,4199405
toyota,toyota motor europe nv sa,duplicate,toyota (j),1,4199405
toyota,toyota motor europe nv sa,unknown,toyota (j),59,4199405
toyota,aa-iva,aa-iva,toyota (gb),1,4199405
toyota,aa-iva,aa-iva,toyota(cdn),1,4199405
toyota,aa-iva,aa-iva,toyota(usa),19,4199405
toyota,toyota motor europe  nv sa,unknown,toyota (gb),1,4199405
toyota,aa-iva,aa-iva,toyota (usa),10,4199405
toyota,toyota motor europe  nv sa,unknown,toyota (usa),20,4199405
toyota,toyota motor europe nv sa,unknown,toyota (usa),14,4199405
toyota,aa-iva,aa-iva,toyota mem (b),1,4199405
toyota,toyota motor europe  nv sa,unknown,toyota mem (b),4,4199405
toyota,toyota motor europe nv sa,unknown,toyota mem (b),1,4199405
toyota,aa-iva,aa-iva,toyotaeurope(b),1,4199405
toyota,aa-nss,aa-nss,toyota sweden ab,179,4199405
toyota,aa-iva,aa-iva,toyota europe (b),162,4199405
toyota,aa-iva,aa-iva,toyotamotorsp.(d),2,4199405
toyota,toyota motor europe  nv sa,unknown,toyota europe (b),42,4199405
toyota,toyota motor europe nv sa,duplicate,toyota europe (b),64,4199405
toyota,toyota motor europe nv sa,unknown,toyota europe (b),45,4199405
toyota,aa-iva,aa-iva,toyota motorsp.(d),2,4199405
toyota,aa-nss,aa-nss,toyota motor corp.,4,4199405
toyota,toyota motor europe nv sa,duplicate,toyota motor europe,38,4199405
toyota,toyota motor europe nv sa,unknown,toyota motor europe,1,4199405
toyota,aa-iva,aa-iva,toyota motor engineering,1,4199405
toyota,aa-iva,aa-iva,toyota motor europe nv/sa,1012,4199405
toyota,toyota motor europe nv sa,duplicate,lexus,9,4199405
toyota,toyota motor europe nv sa,duplicate,toyota motor europe n.v. / s.a.,1,4199405
toyota,toyota motor europe nv sa,duplicate,toyota motor europe nv sa,89,4199405
toyota,toyota motor europe nv sa,duplicate,toyota motor europe nv/sa,25,4199405
toyota,toyota motor europe nv sa,out of scope,toyota motor europe nv/sa,7,4199405
toyota,toyota motor europe nv sa,unknown,,30,4199405
toyota,toyota motor europe nv sa,unknown,toyota motor europe  nv sa,6,4199405
toyota,toyota motor europe nv sa,unknown,toyota motor europe n.v. / s.a.,5,4199405
toyota,toyota motor europe nv sa,unknown,toyota motor europe nv sa,1,4199405
toyota,aa-nss,aa-nss,toyota motor europe n.v. / s.a.,2,4199405
toyota,aa-nss,aa-nss,toyota motor poland co. ltd. sp. z o.o.,9,4199405
citroen,aa-iva,aa-iva,citroen,34,4325948
citroen,aa-nss,aa-nss,citroen,56,4325948
citroen,automobiles citroen,automobiles citroen,citroen,712872,4325948
citroen,automobiles citroen,duplicate,citroen,137,4325948
citroen,aa-iva,aa-iva,citroen (f),95,4325948
citroen,automobiles citroen,automobiles citroen,citroen (e),1,4325948
citroen,automobiles citroen,automobiles citroen,citroen (f),358270,4325948
citroen,automobiles citroen,duplicate,citroen (f),21,4325948
citroen,automobiles citroen,unknown,citroen (e),2,4325948
citroen,automobiles citroen,unknown,citroen (f),19,4325948
citroen,automobiles citroen,automobiles citroen,citroen ay cb,1,4325948
citroen,aa-iva,aa-iva,automobiles citroen,80,4325948
citroen,aa-nss,aa-nss,automobiles citroen,14,4325948
citroen,automobiles citroen,automobiles citroen,,132440,4325948
citroen,automobiles citroen,automobiles citroen,"autmobiles citroen,6, rue fructidor 75017 paris (france)",17,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citro?n,2068,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroã«n,5304,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroã«n, 6 rue fructidor, 75017 paris, francuska",888,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroã«n, 6, rue fructidor, 75017 paris, francuska",2599,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroã«n, francie",4,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroã«n, pariz, fr",5069,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen,3032175,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen- 6, rue fructidor 75017 paris (france)",80,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen-6, rue fructidor 75017 paris (france)",57,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen-7, rue henri sainte-claire deville 92500 rueil-malmaison (france)",444,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen-focaccia group,16,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen - 6, rue fructidor 75017 paris (france)",450,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen - 7, rue henri sainte-claire deville 92500 rueil-malmaison (france)",37,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen -7, rue henri sainte-claire deville 92500 rueil-malmaison (france)",13,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen 6, rue fructidor 75017 paris (france)",1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen chnfvk,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen chrhyb,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen dc4hxb,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen fc8hxb,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen fc8hyb,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen fc8hzc,4,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen fchfxb,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen fchfxc,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen gjrhyk,3,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen hb8hzc,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen hbkfvc,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen jm8hzc,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen jmhfxc,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen jmnfsc/if,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen la9hzc,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen lckfuc,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen mfrhyf a            st,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen mfwjyb/pmf,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen paris - francia,5937,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen pmcfac,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen pn8htc,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen pncfac,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen rwrhha,2,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen s1hfxb,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen s1vjxb,2,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen sa5fr8,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen sa8fp0/1,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen sa9hp0/1,2,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen sc9hp0/1,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen uarhjh/p,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen ud9hzc,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen x2rhzb,1,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen zbrmrb,1,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen, 6 rue fructidor 75017 paris (france)",27,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen, 6, rue fructidor 75017 paris (france)",3731,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen, paris, francie",10,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen, pariz, francie",5065,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen,6, rue fructidor 75017 paris (france)",795,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen/api cz s.r.o.,7,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen/automobiles dangel,8,4325948
citroen,automobiles citroen,automobiles citroen,automobiles citroen/î³î±î»î»î¹î±,1956,4325948
citroen,automobiles citroen,automobiles citroen,"automobiles citroen6, rue fructidor 75017 paris (france)",165,4325948
citroen,automobiles citroen,automobiles citroen,automobiles dangel,200,4325948
citroen,automobiles citroen,automobiles citroen,automobiles dangel sa,8,4325948
citroen,automobiles citroen,automobiles citroen,automobiles peugeot,2,4325948
citroen,automobiles citroen,automobiles citroen,"automobils citroen -7, rue henri sainte-claire deville 92500 rueil-malmaison (france)",5,4325948
citroen,automobiles citroen,automobiles citroen,automoviles citroen,3249,4325948
citroen,automobiles citroen,automobiles citroen,bmb,4,4325948
citroen,automobiles citroen,automobiles citroen,carpol,1,4325948
citroen,automobiles citroen,automobiles citroen,citroen / tripod mobility b.v.,11,4325948
citroen,automobiles citroen,automobiles citroen,citroen/focaccia group,34,4325948
citroen,automobiles citroen,automobiles citroen,citroen/morice constructeur,15,4325948
citroen,automobiles citroen,automobiles citroen,dangel,1,4325948
citroen,automobiles citroen,automobiles citroen,dethleffs gmbh,104,4325948
citroen,automobiles citroen,automobiles citroen,ds,44313,4325948
citroen,automobiles citroen,automobiles citroen,n/a,5711,4325948
citroen,automobiles citroen,automobiles citroen,poclain vehicules,5,4325948
citroen,automobiles citroen,automobiles citroen,tripod mobility b.v.,1,4325948
citroen,automobiles citroen,duplicate,automobiles citroen,1278,4325948
citroen,automobiles citroen,duplicate,"automobiles citroen, 6, rue fructidor 75017 paris (france)",1,4325948
fiat,aa-iva,aa-iva,fiat,23,4971535
fiat,aa-nss,aa-nss,fiat,188,4971535
fiat,aa-nss,unknown,fiat,35,4971535
fiat,fca italy spa,duplicate,fiat,140,4971535
fiat,fca italy spa,fiat group,fiat,260810,4971535
fiat,fca italy spa,unknown,fiat,83,4971535
fiat,fca us llc,chrysler,fiat,1156,4971535
fiat,fca us llc,duplicate,fiat,4,4971535
fiat,fiat group automobiles spa,aa-iva,fiat,685,4971535
fiat,fiat group automobiles spa,aa-nss,fiat,9,4971535
fiat,fiat group automobiles spa,fiat group,fiat,1313317,4971535
fiat,fiat group automobiles spa,fiat group automobiles spa,fiat,686867,4971535
fiat,fiat group automobiles spa,ford werke gmbh,fiat,1,4971535
fiat,fiat group automobiles spa,out of scope,fiat,45,4971535
fiat,fiat group automobiles spa,unknown,fiat,123,4971535
fiat,ford-werke gmbh,ford werke gmbh,fiat,6,4971535
fiat,magyar suzuki corporation ltd,magyar suzuki,fiat,153,4971535
fiat,aa-iva,aa-iva,fiat(i),1,4971535
fiat,aa-iva,aa-iva,fiat (i),14,4971535
fiat,alfa romeo spa,alfa romeo,fiat (i),41,4971535
fiat,fca italy spa,duplicate,fiat (i),3,4971535
fiat,fca italy spa,fiat group,fiat (i),44605,4971535
fiat,fca italy spa,out of scope,fiat (i),5,4971535
fiat,fca italy spa,unknown,fiat (i),158,4971535
fiat,fiat group automobiles spa,unknown,fiat (f),4,4971535
fiat,fiat group automobiles spa,unknown,fiat (i),239,4971535
fiat,aa-iva,aa-iva,fiat group,44,4971535
fiat,fca italy spa,duplicate,fiat group,205,4971535
fiat,fca italy spa,fiat group,,30369,4971535
fiat,fca italy spa,fiat group,abarth,16512,4971535
fiat,fca italy spa,fiat group,akmanlar damper sanayi tasimacilik ith. ihr. tic. lt,6,4971535
fiat,fca italy spa,fiat group,bmb,5,4971535
fiat,fca italy spa,fiat group,bmb sp. z o. o.,6,4971535
fiat,fca italy spa,fiat group,fca italy s.p.a,14,4971535
fiat,fca italy spa,fiat group,fca italy s.p.a.,1394279,4971535
fiat,fca italy spa,fiat group,fca italy s.p.a. t????? ??????,6374,4971535
fiat,fca italy spa,fiat group,fca italy s.p.a. t?â”€???â”¼?â³?â”€?â•—?â”€?ã³?â”€?? ?â”€ã¨ãµâ¾?â”¼ã¨ã£ã®?â”€???â”€???â”€?â•—?â”€??,337,4971535
fiat,fca italy spa,fiat group,fca italy s.p.a. tâ”œã¤â”¬â”â”œã¥â”¬ã¼â”œã¤â”¬â»â”œã¤â”¬â¢â”œã¤â”¬â” â”œã¤ã´ã¤ã³â”œã¥ã´ã§ã—â”œã¤â”¬â–’â”œã¤â”¬â•—â”œã¤â”¬â»â”œã¤â”¬â–’,2826,4971535
fiat,fca italy spa,fiat group,fca italy s.p.a. tî¿ïî¯î½î¿ î¹ï„î±î»î¯î±,7119,4971535
fiat,fca italy spa,fiat group,fca italy s.p.a. torino italia,3712,4971535
